text,label,__index_level_0__
"Explosion Rocks Baghdad Neighborhood BAGHDAD, Iraq, August 24 -- A car bomb exploded near the gate of a US-funded Iraqi television network in Baghdad on Tuesday, killing at least two people and wounding two others, authorities and witnesses said.",0,2308
BBC reporters' log BBC correspondents record events in the Middle East and their thoughts as the funeral of the Palestinian leader Yasser Arafat takes place.,0,22404
"Israel welcomes Rice nomination; Palestinians wary Israel on Tuesday warmly welcomed the naming of Condoleezza Rice as America #39;s top diplomat, but Palestinians were wary, saying the new Bush administration must put more energy into the quest for Middle East peace.",0,23397
Medical Journal Calls for a New Drug Watchdog Medical researchers said the U.S. needs a system independent of the F.D.A. to detect harmful effects of drugs already on the market.,0,25058
"Militants Kidnap Relatives of Iraqi Minister-TV Militants have kidnapped two relatives of Iraqi Defense Minister Hazim al-Shalaan and demanded US forces leave the holy city of Najaf, Al Jazeera television reported Wednesday.",0,2664
"US to support democracy WASHINGTON, Sept 18: The United States has said that it would reiterate its support for a  #39;fully functioning #39; democracy in Pakistan if the issue of President Pervez Musharraf keeping or giving ",0,8511
"Command Failure Seen at Fault in Beslan Massacre  MOSCOW (Reuters) - Security forces bungled the handling of  Russia's worst hostage drama because nobody was in charge and  special forces were not ready when the shooting started,  security analysts said on Monday.",0,5148
"U.S. groups accuse China of failing to stop intellectual property abuses (Canadian Press) Canadian Press - BEIJING (AP) - Adding to pressure for China to stop rampant product piracy, two major U.S. business groups complained Thursday that abuses are getting worse and warned that lack of patent and copyright protection is hurting high-tech investment.",0,7790
"Kidnappers Release Seven Hostages in Iraq BAGHDAD, Iraq - Kidnappers released two female Italian aid workers and five other hostages Tuesday, raising hopes for at least 18 foreigners still in captivity. But insurgents showed no sign of easing their blood-soaked campaign against the U.S...",0,11311
"Colombian Military Kills Militia Leader A former U.S.-trained Colombian army officer who later joined an outlawed paramilitary group was killed in a clash with army troops Tuesday, the army said.",0,19043
"Kite festival begins as prelude to 350th anniversary of Taj Agra, Sep 27. (PTI):A kite festival today began on the banks of the Yamuna river behind the Taj Mahal as a prelude to the 350th anniversary celebrations of the world-famous monument opening this evening.",0,10784
Falluja troops under heavy fire US marines in Falluja have come under sustained attack from several different directions in the headquarters they have set up in the Iraqi city.,0,22246
Chechen capital empties ahead of election to replace slain leader (AFP) AFP - Chechnya's capital Grozny emptied as residents fearing rebel raids fled a day before an election to replace their slain pro-Moscow leader.,0,3268
"Does Tsvangirai outcome suit Mugabe? On hearing the verdict there was a broad smile from Morgan Tsvangirai, applause from his supporters and tears of relief from his veteran attorney.",0,15947
"U.S. Raps Cuba on Its Presence Abroad (AP) AP - The State Department is accusing Cuba of training Colombian rebels and says it is troubled by a large presence of Cuban personnel in Venezuela, whose president, Hugo Chavez, is a close ally of Cuban President Fidel Castro.",0,14977
"Brazilian Soldier Wounded in Haiti Unrest &lt;p&gt;&lt;/p&gt;&lt;p&gt; By Joseph Guyler Delva&lt;/p&gt;&lt;p&gt; GONAIVES, Haiti (Reuters) - A Brazilian soldier with theU.N. peacekeeping force in Haiti was shot and wounded Saturdaywhen peacekeepers and local police faced gunfire in a crackdownon armed gangs in the Haitian capital.&lt;/p&gt;",0,14474
Chinese official moved as Hu consolidates power China #39;s Communist Party chief Hu Jintao moved a close political ally out of a problem-plauged province on Monday and analysts say he will make more personnel changes as he continues to consolidate power.,0,28694
"British hostage killed in Iraq: TV The British hostage held in Iraq by a militant group led by al-Qaida ally Abu Musab al-Zarqawi was killed Friday, pan-Arab Abu Dhabi TV reported.",0,14054
"Leading Cuban Dissident Writer Freed Cuba #39;s communist government freed dissident writer Raul Rivero from prison Tuesday, the latest in a series of releases apparently aimed at cleaning up the island #39;s human rights record.",0,26545
"God Has 4,000 Loudspeakers; the State Holds Its Ears The Egyptian minister of religion decided that one official call to prayer would be broadcast live and carried by all of Cairo's mosques. Many of the faithful objected.",0,14980
"US blames Islamic charities for funding Iraq attacks MARK COLVIN: In Baghdad, the family of the kidnapped head of CARE International have pleaded with the British Prime Minister to stop even speaking Margaret Hassan #39;s name.",0,17636
"Al-Sadr Calls on Militia to End Uprising BAGHDAD, Iraq - Rebel cleric Muqtada al-Sadr wants his followers to end their uprising against U.S. and Iraqi forces while he considers forming a political movement, senior al-Sadr officials said Monday...",0,3931
"Pope pleads for peace in Iraq POPE John Paul today issued a new appeal for peace in Iraq and the Middle East, condemning the  quot;horror quot; of violence as well as  quot;the terrorism that cruelly targets the innocent quot;.",0,8387
"Danes find a bridge to love (Chicago Tribune) Chicago Tribune - The train is sleek and fast that each night carries Christina Reves away from her country and toward her husband. It races through Denmark's scattered marshes and clicks over a bridge and across the water, stopping 35 minutes later in Sweden.",0,8028
The China Post President Chen Shui bian said yesterday he does not expect China to ease its military threat against the island after Chinese President Hu Jintao took over as the country #39;s top military chief.,0,9482
"Fears grow for Falluja civilians Iraqis trapped in the besieged rebel city of Falluja face a humanitarian disaster, aid agencies warn.",0,22572
Annan asks China to play a bigger role UN Secretary-General Kofi Annan told university students in Beijing Monday that China should play a bigger role in global development and world peace.,0,15107
"Bush Twins Host Pre-Convention Party (AP) AP - Barbara and Jenna Bush, the president's 22-year-old twin daughters, arrived like rock 'n' roll stars at a Republican convention party Sunday, complete with red carpet, cameras and paparazzi shouting for a smile.",0,3673
Thaksin vows  #39;iron fist #39; against rebels in south BANGKOK Prime Minister Thaksin Shinawatra headed to a Muslim-dominated part of southern Thailand on Sunday after promising to act aggressively against militants and illegal weapons they have used in deadly attacks there.,0,21388
"HK legislative poll points to the future When the British ruled Hong Kong, as pro-Beijing politicians are fond of pointing out, the territory #39;s people had no direct influence over the way they were governed.",0,5937
"Rebels return to 'cleared' areas In Fallujah, US forces are going through 50,000 houses one by one. But insurgents are coming back.",0,27033
"Blunkett is expected to resign Home Secretary David Blunkett is expected to quit on Wednesday, BBC political editor Andrew Marr has said. The news comes amid claims he misused his office to fast-track a visa for his former lover #39;s nanny.",0,29271
Cricket: Warne back to face NZ Australia's Darren Lehmann and Shane Warne return to take on New Zealand.,0,21880
"Copter crash kills cleric ATHENS -- The Christian Orthodox Patriarch of Alexandria was killed yesterday after an army helicopter transporting him and his entourage to a monastic enclave in northern Greece crashed into the sea, according to government and church officials.",0,6508
"Jitters before assault wearing on soldiers NEAR FALLUJAH, Iraq -- The hulks of the 69-ton M1A1 Abrams tanks were barely visible on the dark desert plain, but the rumble of their engines filled the night.",0,21457
Anwar supporters defy police ban to welcome him home to Malaysia KUALA LUMPUR : Hundreds of supporters defied a police ban to welcome former deputy prime minister Anwar Ibrahim at the airport on his arrival home after back surgery in Germany.,0,20071
Court Votes to Strip Pinochet of Immunity An appeals court ruled Thursday to strip former dictator Gen. Augusto Pinochet of immunity from prosecution for a 1974 car bombing that killed an exiled Chilean general and the man's wife.,0,27012
"Hurricane Jeanne Takes Aim at Florida WEST PALM BEACH, Fla. - Hurricane Jeanne trekked westward Friday on a path that could lead to Florida's east coast by Sunday, setting off another round of storm preparations in a state still reeling from three earlier strikes...",0,10092
White House Rejects Trade Case Vs. China (AP) AP - The Bush administration on Friday rejected a request from 30 members of Congress that it bring a World Trade Organization case against China charging the Asian nation with manipulating its currency to gain unfair trade advantages against the United States.,0,22567
It's October and It's Time for Playoffs! Curt Schilling and Pedro Martinez are revved up. Roger Clemens and Roy Oswalt are rarin' to go...,0,12976
"ONGC #39;s 10th acquisition abroad ONGC Videsh Ltd, the overseas arm of state-run Oil and Natural Gas Corp, has acquired a majority stake in an oil block in Australia.",0,3813
"Senate Wants Intel Chief With Budget Say (AP) AP - The committee writing the Senate's intelligence reorganization plan is recommending creation of a strong national intelligence director with spending power, while leaving the Pentagon in charge of some military spy agencies.",0,7337
Plan unveiled to ease Iraq debt Germany has unveiled an international plan to wipe out tens of billions of dollars of Iraqi debt so that the war-torn country can rebuild in earnest.,0,24483
"China Pledges Stable Policies  BEIJING (Reuters) - Chinese leaders closed a key economic  meeting on Sunday with pledges to maintain stable fiscal and  monetary policies in 2005 and keep a tight lid on fixed-asset  investment, state radio said.",0,19592
"At least 90 dead, 77 missing in China rainstorms BEIJING : At least 90 people were killed and 77 were missing in torrential storms lashing southwest China, disaster relief officials said.",0,5121
"Nigerian Unions Launch Strike But Oil Exports Flow Unions began a four-day strike against rising fuel prices in Nigeria on Monday, helping drive world oil prices to record highs even though shipments from Africa #39;s top producer were unaffected.",0,14905
"US bolsters force for Afghan poll The US is to send up to 1,100 extra troops to Afghanistan to provide security for next month's elections.",0,8223
Iraqis flock to shrine after deal Thousands of Iraqis walk through Najaf to the city's great shrine as a peace deal takes effect.,0,2868
"Italian troops  #39;to stay in Iraq #39; Italy says it has no intention of withdrawing its 3,000 troops from Iraq in the face of demands from kidnappers who have seized an Italian journalist.",0,2342
"Concert blast investigated ISTANBUL, Turkey Turkish authorities say a grenade might have caused last night #39;s explosion that injured at least 13 people attending a pop concert.",0,8832
